                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.1141,                0.93168,                 1.4296,                0.81671,                0.76826,                0.83828,                 0.5242,                 1.2561,                0.91068,                 1.4779,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.1216,                0.96404,                  1.423,                0.83191,                0.75776,                0.83728,                0.52678,                 1.2623,                0.91379,                 1.4636,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.1144,                0.94666,                 1.4258,                0.83155,                0.75926,                0.84942,                0.53685,                 1.2526,                0.89181,                 1.4576,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.1174,                0.95023,                  1.421,                0.82897,                0.76643,                0.84323,                0.52437,                 1.2778,                0.90885,                 1.4624,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.1022,                0.92932,                 1.4093,                0.84018,                0.78052,                0.85234,                0.53797,                 1.2407,                0.90802,                 1.4419,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.1272,                0.97194,                 1.4219,                 0.8066,                0.77975,                0.84304,                0.52113,                 1.2602,                0.90558,                 1.4667,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.0808,                0.91589,                 1.3945,                0.79804,                0.77243,                0.83478,                0.52947,                 1.2291,                0.91986,                 1.4499,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.0779,                0.91617,                  1.399,                0.78525,                0.77691,                0.83638,                0.53333,                 1.2335,                0.89352,                 1.4426,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.0818,                0.92239,                 1.4028,                0.83861,                0.73802,                0.84205,                0.54387,                 1.2516,                0.88834,                 1.4566,             0.00019821,             0.00019821,             0.00019821
                     91,                0.99633,                0.84036,                 1.3311,                0.84829,                0.74527,                 0.8489,                0.54477,                  1.218,                0.89155,                 1.4382,              0.0001817,              0.0001817,              0.0001817
                     92,                0.96275,                 0.7626,                 1.3034,                0.80615,                0.78051,                0.84894,                0.54256,                 1.2101,                0.90665,                 1.4311,              0.0001652,              0.0001652,              0.0001652
                     93,                0.93232,                0.75299,                 1.2999,                0.79677,                0.79779,                 0.8512,                0.55149,                 1.2061,                0.88631,                 1.4309,              0.0001487,              0.0001487,              0.0001487
                     94,                0.93581,                0.75764,                 1.2909,                  0.836,                0.74556,                0.84202,                0.54292,                 1.2081,                0.90296,                 1.4403,             0.00013219,             0.00013219,             0.00013219
                     95,                0.93434,                0.73969,                 1.3026,                0.82721,                0.77498,                0.85069,                0.55191,                 1.2152,                0.87159,                 1.4342,             0.00011569,             0.00011569,             0.00011569
                     96,                0.91434,                0.71037,                  1.268,                0.83858,                0.74235,                0.84489,                0.54895,                 1.2145,                0.86982,                 1.4386,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.9103,                0.70993,                 1.2743,                 0.8182,                0.77878,                0.85233,                0.54722,                 1.2207,                0.86746,                 1.4358,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.89976,                0.69394,                  1.267,                0.83269,                0.77265,                0.84207,                0.54133,                  1.213,                0.86686,                 1.4434,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.89945,                0.70136,                 1.2658,                0.80459,                0.78306,                0.84928,                0.54843,                 1.2152,                0.86135,                 1.4442,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.91223,                 0.6937,                 1.2741,                0.82152,                0.78129,                0.85043,                0.54531,                 1.2167,                0.86459,                 1.4437,             3.3173e-05,             3.3173e-05,             3.3173e-05
